grain-here,max-grain-here
7,7
0,0
0,0
0,0
0,0
0,0
7,7
14,14
14,14
7,7
0,0
0,0
0,0
7,7
7,7
7,7
7,7
26,26
14,14
15,15
30,30
23,23
22,22
7,7
15,15
16,16
25,25
29,29
14,14
29,29
14,14
7,7
0,0
7,7
14,14
21,21
21,21
29,29
7,7
8,8
16,16
16,16
8,8
0,0
0,0
0,0
0,0
0,0
7,7
29,29
14,14
7,7
0,0
0,0
7,7
7,7
7,7
7,7
26,26
14,14
7,7
7,7
0,0
0,0
7,7
26,26
7,7
7,7
7,7
14,14
26,26
14,14
26,26
7,7
0,0
0,0
8,8
15,15
15,15
21,21
14,14
14,14
0,0
0,0
7,7
26,26
7,7
7,7
7,7
7,7
16,16
27,27
30,30
25,25
23,23
15,15
7,7
7,7
7,7
14,14
14,14
28,28
7,7
0,0
0,0
7,7
26,26
7,7
7,7
7,7
14,14
26,26
14,14
7,7
14,14
14,14
14,14
7,7
7,7
7,7
14,14
7,7
21,21
14,14
14,14
0,0
0,0
0,0
0,0
0,0
7,7
26,26
7,7
0,0
0,0
7,7
7,7
7,7
7,7
7,7
7,7
16,16
25,25
24,24
26,26
24,24
29,29
7,7
7,7
26,26
7,7
7,7
7,7
0,0
0,0
0,0
14,14
14,14
14,14
0,0
0,0
7,7
7,7
14,14
26,26
14,14
26,26
14,14
7,7
14,14
26,26
7,7
7,7
14,14
29,29
14,14
7,7
7,7
0,0
0,0
0,0
7,7
7,7
7,7
0,0
0,0
0,0
0,0
0,0
7,7
26,26
7,7
8,8
9,9
17,17
24,24
30,30
29,29
14,14
14,14
7,7
7,7
0,0
0,0
7,7
7,7
7,7
14,14
29,29
7,7
0,0
0,0
0,0
0,0
7,7
7,7
14,14
7,7
14,14
26,26
14,14
14,14
14,14
14,14
28,28
14,14
14,14
26,26
7,7
0,0
0,0
0,0
0,0
7,7
7,7
7,7
0,0
0,0
0,0
0,0
7,7
7,7
7,7
7,7
7,7
7,7
7,7
29,29
21,21
29,29
7,7
0,0
0,0
0,0
7,7
26,26
14,14
14,14
31,31
14,14
7,7
0,0
0,0
7,7
7,7
7,7
7,7
7,7
14,14
14,14
14,14
7,7
7,7
26,26
21,21
14,14
14,14
7,7
15,15
15,15
8,8
0,0
0,0
0,0
7,7
26,26
7,7
7,7
7,7
14,14
7,7
7,7
0,0
0,0
7,7
26,26
7,7
7,7
14,14
30,30
14,14
7,7
7,7
7,7
7,7
7,7
7,7
14,14
28,28
14,14
14,14
7,7
7,7
0,0
7,7
26,26
7,7
7,7
26,26
14,14
26,26
7,7
0,0
7,7
14,14
21,21
29,29
7,7
8,8
24,24
26,26
16,16
0,0
0,0
0,0
7,7
7,7
7,7
7,7
26,26
14,14
26,26
7,7
0,0
0,0
7,7
7,7
7,7
0,0
14,14
14,14
14,14
0,0
7,7
26,26
7,7
7,7
0,0
14,14
14,14
14,14
7,7
26,26
7,7
0,0
7,7
7,7
7,7
7,7
7,7
22,22
23,23
23,23
8,8
0,0
7,7
28,28
14,14
7,7
8,8
25,25
24,24
16,16
0,0
0,0
0,0
0,0
0,0
0,0
7,7
14,14
21,21
14,14
7,7
0,0
0,0
7,7
7,7
7,7
0,0
7,7
26,26
7,7
0,0
7,7
7,7
7,7
0,0
7,7
14,14
29,29
7,7
7,7
7,7
7,7
0,0
0,0
0,0
0,0
0,0
0,0
16,16
26,26
25,25
8,8
0,0
7,7
7,7
7,7
0,0
15,15
23,23
23,23
15,15
7,7
7,7
0,0
0,0
0,0
0,0
0,0
7,7
26,26
7,7
0,0
0,0
0,0
7,7
26,26
7,7
0,0
7,7
7,7
7,7
0,0
0,0
0,0
0,0
0,0
7,7
28,28
14,14
7,7
0,0
0,0
7,7
7,7
7,7
0,0
0,0
0,0
0,0
16,16
24,24
31,31
15,15
14,14
7,7
7,7
0,0
0,0
7,7
26,26
7,7
7,7
26,26
7,7
0,0
0,0
0,0
0,0
0,0
7,7
7,7
7,7
0,0
0,0
0,0
7,7
7,7
7,7
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
14,14
7,7
14,14
7,7
7,7
0,0
7,7
26,26
7,7
0,0
0,0
0,0
0,0
8,8
8,8
15,15
26,26
21,21
29,29
14,14
0,0
0,0
7,7
7,7
7,7
7,7
7,7
7,7
0,0
0,0
7,7
7,7
7,7
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
7,7
7,7
7,7
0,0
0,0
7,7
7,7
7,7
7,7
7,7
7,7
0,0
7,7
29,29
14,14
7,7
7,7
7,7
7,7
0,0
0,0
0,0
0,0
0,0
0,0
7,7
7,7
21,21
28,28
14,14
0,0
0,0
0,0
0,0
0,0
0,0
0,0
