grain-here,max-grain-here
7,7
14,14
22,22
24,24
15,15
7,7
7,7
29,29
14,14
7,7
0,0
7,7
7,7
14,14
26,26
7,7
7,7
7,7
7,7
7,7
26,26
7,7
0,0
7,7
7,7
14,14
26,26
7,7
7,7
7,7
14,14
7,7
14,14
7,7
7,7
0,0
0,0
7,7
26,26
7,7
0,0
0,0
0,0
0,0
0,0
0,0
7,7
7,7
7,7
0,0
0,0
0,0
7,7
29,29
15,15
8,8
0,0
7,7
14,14
28,28
14,14
7,7
14,14
26,26
14,14
7,7
7,7
7,7
29,29
14,14
14,14
7,7
7,7
0,0
7,7
26,26
14,14
7,7
14,14
14,14
29,29
7,7
0,0
7,7
26,26
7,7
0,0
0,0
7,7
7,7
7,7
0,0
0,0
0,0
0,0
0,0
7,7
7,7
7,7
0,0
0,0
0,0
0,0
7,7
7,7
14,14
7,7
7,7
0,0
7,7
7,7
14,14
26,26
14,14
7,7
7,7
0,0
0,0
7,7
14,14
28,28
7,7
7,7
7,7
7,7
7,7
7,7
14,14
7,7
14,14
28,28
14,14
7,7
0,0
7,7
7,7
7,7
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
14,14
29,29
14,14
0,0
0,0
0,0
0,0
0,0
7,7
14,14
29,29
7,7
0,0
0,0
0,0
14,14
14,14
14,14
0,0
0,0
7,7
7,7
14,14
14,14
21,21
14,14
14,14
29,29
14,14
7,7
0,0
7,7
26,26
14,14
7,7
7,7
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
7,7
21,21
31,31
14,14
0,0
0,0
0,0
0,0
0,0
7,7
28,28
14,14
7,7
0,0
0,0
0,0
7,7
26,26
7,7
0,0
0,0
7,7
26,26
14,14
26,26
14,14
26,26
21,21
21,21
31,31
7,7
0,0
7,7
15,15
15,15
8,8
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
7,7
7,7
7,7
0,0
0,0
0,0
7,7
28,28
14,14
14,14
7,7
7,7
0,0
0,0
0,0
7,7
7,7
7,7
0,0
0,0
0,0
0,0
7,7
7,7
14,14
7,7
7,7
7,7
7,7
14,14
7,7
14,14
7,7
21,21
31,31
28,28
14,14
7,7
7,7
15,15
24,24
15,15
14,14
7,7
14,14
14,14
14,14
14,14
7,7
7,7
0,0
7,7
26,26
7,7
0,0
0,0
8,8
23,23
23,23
15,15
7,7
26,26
7,7
0,0
16,16
16,16
8,8
7,7
7,7
7,7
0,0
0,0
0,0
0,0
0,0
7,7
29,29
14,14
7,7
0,0
0,0
0,0
0,0
0,0
14,14
28,28
21,21
29,29
14,14
14,14
29,29
22,22
29,29
14,14
26,26
14,14
29,29
28,28
21,21
29,29
14,14
0,0
7,7
14,14
14,14
7,7
7,7
15,15
25,25
25,25
16,16
15,15
7,7
7,7
8,8
26,26
25,25
8,8
7,7
26,26
7,7
7,7
7,7
7,7
0,0
0,0
7,7
14,14
31,31
14,14
7,7
0,0
0,0
0,0
0,0
7,7
7,7
14,14
14,14
28,28
14,14
7,7
21,21
14,14
21,21
7,7
14,14
14,14
14,14
21,21
28,28
14,14
0,0
7,7
14,14
29,29
7,7
7,7
29,29
23,23
31,31
24,24
15,15
0,0
0,0
16,16
24,24
24,24
8,8
7,7
7,7
7,7
7,7
26,26
7,7
0,0
0,0
0,0
7,7
14,14
31,31
14,14
7,7
0,0
0,0
0,0
0,0
7,7
7,7
14,14
7,7
7,7
0,0
14,14
29,29
14,14
0,0
0,0
0,0
0,0
7,7
7,7
7,7
0,0
14,14
31,31
21,21
7,7
7,7
7,7
7,7
15,15
29,29
15,15
0,0
0,0
16,16
8,8
8,8
0,0
0,0
0,0
7,7
14,14
14,14
14,14
7,7
7,7
0,0
0,0
7,7
14,14
28,28
7,7
0,0
0,0
0,0
7,7
14,14
29,29
7,7
0,0
0,0
0,0
14,14
28,28
14,14
0,0
0,0
0,0
0,0
0,0
0,0
0,0
7,7
21,21
31,31
14,14
0,0
7,7
7,7
7,7
14,14
14,14
14,14
0,0
0,0
8,8
0,0
0,0
0,0
0,0
0,0
7,7
26,26
7,7
7,7
26,26
7,7
0,0
0,0
0,0
7,7
7,7
7,7
0,0
0,0
0,0
7,7
28,28
14,14
7,7
0,0
0,0
0,0
7,7
7,7
7,7
0,0
0,0
0,0
0,0
0,0
0,0
0,0
14,14
31,31
21,21
7,7
0,0
14,14
29,29
14,14
7,7
26,26
7,7
0,0
0,0
0,0
7,7
7,7
0,0
0,0
0,0
7,7
7,7
7,7
7,7
7,7
7,7
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
7,7
14,14
14,14
7,7
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
14,14
28,28
14,14
0,0
0,0
14,14
28,28
21,21
21,21
21,21
14,14
7,7
7,7
14,14
26,26
7,7
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
7,7
7,7
7,7
0,0
7,7
26,26
7,7
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
7,7
7,7
7,7
0,0
0,0
7,7
7,7
14,14
29,29
28,28
7,7
7,7
26,26
14,14
7,7
7,7
0,0
0,0
0,0
0,0
7,7
7,7
15,15
8,8
8,8
0,0
0,0
0,0
0,0
7,7
26,26
7,7
0,0
7,7
7,7
7,7
0,0
0,0
0,0
0,0
0,0
0,0
7,7
7,7
14,14
7,7
7,7
0,0
0,0
0,0
0,0
0,0
0,0
0,0
7,7
7,7
7,7
0,0
7,7
21,21
21,21
14,14
7,7
7,7
14,14
0,0
0,0
0,0
0,0
0,0
0,0
7,7
29,29
22,22
24,24
15,15
7,7
7,7
14,14
14,14
14,14
7,7
7,7
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
7,7
26,26
14,14
26,26
7,7
0,0
0,0
0,0
0,0
0,0
7,7
7,7
14,14
26,26
7,7
0,0
0,0
7,7
26,26
7,7
0,0
0,0
0,0
0,0
7,7
7,7
7,7
0,0
0,0
7,7
14,14
31,31
22,22
29,29
7,7
7,7
29,29
28,28
14,14
14,14
14,14
7,7
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
7,7
7,7
14,14
7,7
7,7
0,0
7,7
7,7
7,7
0,0
7,7
26,26
14,14
7,7
7,7
0,0
0,0
7,7
7,7
7,7
7,7
7,7
7,7
0,0
7,7
26,26
14,14
7,7
7,7
0,0
7,7
7,7
14,14
7,7
7,7
7,7
14,14
14,14
14,14
29,29
28,28
7,7
0,0
7,7
7,7
7,7
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
7,7
26,26
7,7
0,0
7,7
7,7
7,7
7,7
7,7
7,7
0,0
7,7
7,7
7,7
7,7
26,26
7,7
0,0
14,14
14,14
21,21
26,26
14,14
7,7
7,7
7,7
7,7
7,7
0,0
0,0
7,7
7,7
14,14
14,14
21,21
14,14
7,7
7,7
26,26
7,7
0,0
0,0
0,0
0,0
7,7
7,7
14,14
7,7
14,14
7,7
7,7
7,7
7,7
7,7
0,0
0,0
0,0
0,0
7,7
26,26
7,7
0,0
7,7
26,26
7,7
7,7
7,7
7,7
0,0
7,7
26,26
14,14
7,7
14,14
26,26
7,7
7,7
26,26
7,7
7,7
7,7
21,21
29,29
14,14
0,0
14,14
29,29
14,14
7,7
7,7
7,7
0,0
0,0
0,0
0,0
14,14
29,29
21,21
26,26
14,14
26,26
14,14
7,7
7,7
0,0
7,7
7,7
7,7
0,0
7,7
7,7
14,14
7,7
14,14
7,7
7,7
0,0
0,0
0,0
0,0
7,7
7,7
7,7
0,0
7,7
7,7
7,7
7,7
7,7
7,7
7,7
26,26
21,21
28,28
14,14
0,0
14,14
28,28
14,14
0,0
0,0
0,0
0,0
0,0
0,0
7,7
21,21
31,31
21,21
7,7
21,21
14,14
28,28
29,29
14,14
0,0
7,7
26,26
7,7
0,0
0,0
0,0
7,7
26,26
7,7
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
7,7
7,7
14,14
7,7
7,7
0,0
7,7
7,7
7,7
0,0
0,0
0,0
0,0
0,0
7,7
14,14
31,31
14,14
7,7
0,0
7,7
29,29
28,28
31,31
14,14
0,0
7,7
7,7
7,7
0,0
0,0
0,0
7,7
7,7
7,7
0,0
0,0
0,0
0,0
0,0
7,7
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
7,7
28,28
14,14
7,7
0,0
0,0
7,7
14,14
30,30
14,14
7,7
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
7,7
7,7
7,7
7,7
7,7
7,7
0,0
7,7
7,7
7,7
0,0
0,0
0,0
0,0
0,0
0,0
0,0
7,7
7,7
7,7
0,0
0,0
7,7
7,7
7,7
0,0
0,0
0,0
0,0
0,0
7,7
7,7
7,7
0,0
0,0
0,0
0,0
7,7
7,7
7,7
0,0
7,7
7,7
7,7
0,0
0,0
0,0
0,0
0,0
0,0
0,0
7,7
26,26
7,7
7,7
26,26
7,7
0,0
7,7
26,26
7,7
0,0
0,0
8,8
16,16
16,16
8,8
0,0
7,7
26,26
7,7
0,0
0,0
7,7
26,26
7,7
0,0
0,0
0,0
7,7
7,7
7,7
0,0
7,7
7,7
7,7
0,0
0,0
0,0
0,0
0,0
0,0
7,7
26,26
7,7
0,0
0,0
0,0
0,0
0,0
0,0
0,0
7,7
7,7
7,7
7,7
7,7
0,0
0,0
7,7
7,7
7,7
0,0
8,8
24,24
30,30
25,25
8,8
0,0
7,7
7,7
7,7
7,7
7,7
14,14
7,7
7,7
0,0
0,0
0,0
7,7
26,26
7,7
0,0
7,7
26,26
7,7
7,7
7,7
7,7
7,7
7,7
14,14
14,14
14,14
7,7
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
8,8
25,25
27,27
31,31
15,15
15,15
17,17
25,25
17,17
15,15
26,26
7,7
0,0
7,7
7,7
7,7
0,0
7,7
7,7
7,7
0,0
7,7
7,7
7,7
7,7
26,26
7,7
7,7
26,26
14,14
26,26
15,15
8,8
8,8
0,0
0,0
0,0
7,7
7,7
7,7
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
8,8
16,16
16,16
15,15
30,30
24,24
30,30
24,24
28,28
23,23
7,7
14,14
14,14
21,21
29,29
7,7
0,0
0,0
0,0
7,7
7,7
7,7
0,0
0,0
7,7
7,7
14,14
21,21
21,21
21,21
14,14
22,22
25,25
16,16
8,8
0,0
0,0
7,7
26,26
7,7
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
7,7
7,7
7,7
0,0
0,0
7,7
15,15
28,28
27,27
26,26
27,27
16,16
0,0
7,7
29,29
30,30
14,14
7,7
0,0
0,0
0,0
7,7
26,26
7,7
0,0
0,0
0,0
0,0
7,7
29,29
28,28
7,7
7,7
29,29
23,23
24,24
15,15
7,7
0,0
7,7
7,7
7,7
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
7,7
26,26
7,7
0,0
0,0
0,0
8,8
17,17
24,24
19,19
17,17
15,15
7,7
7,7
14,14
14,14
14,14
7,7
14,14
7,7
7,7
7,7
7,7
7,7
0,0
0,0
0,0
0,0
8,8
23,23
31,31
23,23
15,15
7,7
15,15
15,15
29,29
7,7
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
7,7
7,7
7,7
0,0
7,7
7,7
7,7
0,0
0,0
0,0
0,0
8,8
8,8
8,8
7,7
26,26
7,7
0,0
0,0
0,0
7,7
26,26
14,14
26,26
14,14
7,7
7,7
7,7
7,7
7,7
0,0
8,8
17,17
24,24
31,31
25,25
8,8
0,0
0,0
7,7
14,14
14,14
7,7
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
7,7
26,26
7,7
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
7,7
7,7
7,7
0,0
0,0
0,0
7,7
7,7
14,14
7,7
14,14
26,26
14,14
14,14
29,29
7,7
8,8
16,16
27,27
29,29
28,28
24,24
8,8
0,0
0,0
0,0
7,7
26,26
7,7
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
7,7
7,7
7,7
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
7,7
7,7
14,14
7,7
14,14
28,28
14,14
14,14
15,15
24,24
24,24
24,24
23,23
15,15
7,7
0,0
0,0
0,0
7,7
7,7
7,7
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
7,7
7,7
7,7
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
7,7
26,26
7,7
7,7
14,14
14,14
7,7
7,7
29,29
15,15
15,15
7,7
14,14
29,29
14,14
7,7
7,7
14,14
14,14
7,7
7,7
7,7
7,7
0,0
0,0
0,0
0,0
0,0
0,0
7,7
29,29
14,14
7,7
0,0
7,7
7,7
7,7
0,0
0,0
7,7
7,7
14,14
14,14
14,14
7,7
0,0
0,0
0,0
0,0
0,0
0,0
14,14
14,14
14,14
7,7
29,29
14,14
7,7
7,7
7,7
7,7
7,7
29,29
21,21
21,21
31,31
14,14
14,14
29,29
28,28
7,7
7,7
26,26
7,7
0,0
0,0
0,0
0,0
0,0
0,0
7,7
14,14
28,28
14,14
7,7
14,14
26,26
7,7
0,0
0,0
7,7
26,26
14,14
29,29
28,28
7,7
7,7
7,7
7,7
0,0
0,0
0,0
7,7
26,26
7,7
7,7
14,14
28,28
14,14
7,7
7,7
7,7
14,14
21,21
28,28
14,14
14,14
28,28
14,14
14,14
14,14
7,7
