"BehaviorSpace results (NetLogo 6.0.3)"
"Wealth Distribution.nlogo"
"netlogo-1"
"05/18/2021 19:08:55:632 +1000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20"
"num-grain-grown","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4"
"life-expectancy-max","83","83","83","83","83","83","83","83","83","83","83","83","83","83","83","83","83","83","83","83"
"metabolism-max","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15"
"grain-growth-interval","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"percent-best-land","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10"
"max-vision","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5"
"life-expectancy-min","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"num-people","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250"
"[reporter]","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve"
,"50.7930408472012","53.51516558341076","53.57743444540196","54.14169278996867","51.43562935629359","51.579918970136575","57.60093880627703","54.31032266792941","54.12944777022938","52.03057172201302","57.6282644381435","52.97831218648569","55.271068841806006","54.28983146863053","53.17686915887851","55.82657704239923","52.994655729555106","55.76068644707063","55.2049025769956","53.92463997587272"
,"51.61275592870824","55.476522492712505","54.53707258548288","54.19515647114328","53.39246805648961","51.91588785046732","58.811655931851206","54.81169432141209","55.35627356306631","52.88372170661682","56.467374417400336","53.188581818181845","55.90695282956282","55.26646290636287","54.83887876025523","57.00681255161026","52.927962229668","56.18065772392903","55.35216448540231","55.288631388238784"
,"50.207294682578905","57.92374854481956","55.787535919540254","53.09822317530829","53.38919152328439","52.861228287841215","60.008423503629636","53.815738530038075","55.58141500845365","52.765619867288635","55.69820471984946","54.259924522824626","56.436218225260504","56.4483212862258","53.90761461890582","58.6356025632192","52.90542168674701","55.95216141779431","53.392587560386474","55.718179128762685"
,"51.52287263626252","55.597830834182524","55.50081627893416","53.81697065225549","53.70940747739235","53.428924711485614","60.06674757281551","53.303769687580704","55.373092882221584","54.503366131538044","57.28854752632339","55.718986520579556","56.79341949096665","56.14125736738705","55.23151608412111","57.689158326056265","53.039551495989244","56.50193514337653","54.344784278959835","56.036930368209966"
,"53.18241398143091","54.70869565217394","57.13495111731843","54.03600823045271","53.741744256145765","53.98971608084875","60.81652438620874","52.870306403121646","55.746953696181976","53.655148185998954","58.010176678445234","57.42404336276833","57.64854387908003","55.97988984244908","54.95342669212818","57.3851257674787","53.16210387070803","58.46255633884204","54.71787585799694","53.35980854605994"
,"55.25103509129168","55.570407807598464","57.58114849187937","53.584180180180155","55.26842105263155","54.812971385802314","59.973888429489236","53.758745176148395","54.407477741112025","54.87464788732395","58.206592577347855","57.659260300942236","57.144330884701354","55.58006515474253","53.946298083551646","56.46157312049437","54.10123533745115","58.77805647934166","54.11113140018989","54.25846038148629"
,"55.28425907492201","55.189208535005825","57.024574292385665","53.22130207213018","55.025744557141955","56.1813962758385","61.855961923847666","53.68200620475699","54.62965127006581","53.22252764222622","54.61104540377159","57.60466089868828","57.28194453139676","56.444223351497","52.93239237350943","56.78013257696476","53.74134223630601","58.81747638326586","54.501419849495946","54.74407826982492"
,"56.6994971216833","54.813326619671074","56.86504821708904","52.79080961285408","55.751419249592225","57.45079125426383","62.92467919479416","53.88514721659314","55.52251270878729","54.80283911671922","54.137296007224435","58.18525179856112","57.89988866208946","56.96931622408366","54.22789477180634","57.677875827292794","53.14119801060283","58.66795052620157","55.313680060861756","53.88897616283044"
,"59.058856391718706","54.14518684801264","57.61079056865471","53.87074548711591","56.486755826787004","56.827911375304","62.85029746127115","55.9811500835123","55.147217882466094","53.75857627912423","52.412175774364165","56.703559824833974","56.47384329921589","56.71278807832262","53.552604335166635","59.16645305991672","53.23738982690876","58.89381706151068","54.87855474653114","55.24823321554774"
,"58.10217804894048","54.261648156666865","58.17165167485237","53.01983442566404","58.52530991735535","57.67519030770882","63.52178160919544","56.45482893279715","56.474226498010545","54.28900575280379","53.16869640859947","58.00882578664625","56.33623366731122","57.76415525114157","54.71609443421973","59.16768955376553","54.30585386397138","58.03538043762075","55.57639595630637","54.16943445570449"
