"BehaviorSpace results (NetLogo 6.0.3)"
"Wealth Distribution.nlogo"
"netlogo-6"
"05/25/2021 16:39:27:387 +1000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100"
"[min]","8.497257926306775","10.852314474650996","10.813730084348643","10.458009880028229","9.85700389105059","9.418213660245184","10.534760589318601","8.85537190082645","9.748364538687118","10.85251798561151","9.768325791855203","9.266307958017803","11.22749943323509","9.834292911119112","9.768292682926827","8.673779969392958","9.352688737081804","10.083817062445032","9.884052800570823","9.107759841404699","9.98095648958462","9.6858871888559","10.079738482219243","10.47989494656765","10.838929139423925","9.527051397655544","9.492702029191888","10.713015245623941","10.61733734486649","9.952351594151839","8.026096491228076","7.849778195994087","10.573740345715334","8.505795001810945","10.227542179662567","8.919539170506916","8.642586750788649","9.953557658604986","10.518611576400518","9.651882693700218","9.2915855667016","9.855863007484686","8.890640325066553","9.323162274618584","10.125540802625684","9.678976744186047","9.137959407569943","10.475274214538013","10.114701704545462","7.927139874739041","9.811818943839064","9.934694651662667","9.660661547548733","9.37454827052142","9.74925063407885","9.963305128647908","9.488651994497937","10.353070561323241","9.546809256661993","9.32050390964379","9.638317491842809","10.069543263713562","9.518786127167635","9.159770114942535","10.236913973600362","9.53002130544257","9.375713658322358","11.174422799422798","10.647577314395082","9.492024104927335","8.585889570552146","8.824954522903921","10.243113699793716","10.065950273914877","8.457897596088552","9.92878496690156","11.213859354598016","9.994855967078195","10.114762741652024","8.543835616438354","11.526070038910504","9.925726973213001","10.24473483887338","9.45070638820639","10.591401648998822","9.953593089505604","9.691431670281998","10.634203734628821","9.373340558114329","10.752819206984354","8.829594477998274","9.900288184438036","9.43473628129994","8.869451240824889","10.457353457353454","9.569339298004131","10.280608994776403","9.546467107553081","11.264211705404646","9.534877667881313"
"[max]","26.768069209594966","28.116603235014267","27.431205407435222","27.039291282180937","28.191106939229588","28.654670283098834","26.215508971398116","26.13522673354572","27.36477316450383","26.644716890417545","27.67726623540284","27.707867735637436","26.431319817956133","26.97951103813172","27.16392998218573","26.2002619070715","27.76136276538668","28.690720676507226","26.583258503645702","26.777119384722948","26.607914967336775","28.67850998578802","26.513558872891092","26.72939095370333","27.2825417683499","27.286518390228338","26.757204217102696","27.104831953892038","26.903975325565447","25.81911122104048","25.905819571644905","26.563198816527343","27.55696991276482","26.609379359827795","27.978915662650603","26.69652785657552","27.144365578551593","27.836125244618398","27.20401067640655","27.442480527261832","25.972729147334782","26.78618071673026","26.995729700454113","27.105832076420306","26.615555896805887","27.9126310252846","27.28725893245094","28.04606347897774","26.548121224531577","26.9872202166065","27.242496976803828","26.790956931172964","27.40617387332521","26.75773381294965","27.49866161052866","26.635627379264015","26.997634165082697","27.399842728250963","27.68040766656525","28.84684965689331","27.85944919278253","26.966883196974067","26.76366348882906","27.26499226327507","26.44265597655773","26.972653410305742","27.77743139948572","25.60616892569468","26.78389896172322","26.742509715431858","27.560312759579613","26.960908030999253","27.22080458511299","26.18509132963707","26.47785220397581","27.247378706452704","27.289551985037832","27.781463156034633","27.087106948601587","26.76005266066378","27.333333333333336","26.729155868836596","27.379862001587583","27.47858919687277","27.360824514014958","27.737423022264323","27.55435016111708","28.78343644894738","26.464332892998677","26.256714753876825","28.064289746001872","27.141130544475136","27.124443136925258","26.82138038189475","27.201930501930494","26.426972856372455","27.09833721063268","27.21111189977641","26.878673013634227","27.064172240802673"
"[mean]","23.189594701491476","23.367094372950763","22.857242759418785","23.840446019231408","23.03088203033601","23.597004723100323","22.93128448271641","22.765397908644008","23.08361212265987","23.501418691414955","23.022573681326715","23.51482279852936","22.546783423593347","23.12424233016033","23.727756937954673","22.695313227002824","23.07361927509107","22.73314788337611","23.114674614917362","23.146127697759066","23.30866674009481","23.025301211072097","23.020176279457857","23.32262754190053","23.02218907982785","22.838250018934392","23.32644851725597","23.193303170940627","22.76406521196562","22.44543702370105","22.374227077837176","22.791220008532314","22.60916213281979","23.108488340644023","23.623406328518577","23.592833469414163","23.132037646180386","22.859946179697044","23.316821335670134","23.029284831760762","22.95063266739689","23.182990136854556","22.90721651537318","22.97996755460392","23.00374686399114","23.41476911930064","23.96557553972791","23.365470568976306","22.89795430108723","22.690674516111944","23.095496145052106","22.853276758110216","22.891398800567735","22.839555009511287","23.23616583324784","23.06831315604314","23.920894637481332","23.446643914664268","23.727737059291343","23.556341513302787","23.456844119669825","23.289399760509664","23.04287314563142","23.06584706490705","23.116087536069298","23.15955394051179","22.980023287055293","22.676433394548603","23.42972398111695","22.82557131145481","23.56495843207697","22.986440147589544","23.690409217324827","22.911534285412827","23.26393615328344","23.086782102025012","23.120600589461024","23.187683073739947","23.276489644133","23.532149317354765","23.866453142539015","22.998512429679547","22.980020218538183","23.754920899991113","23.643093261238725","23.111644255226718","23.081956548701267","23.7659010612846","22.79332711473663","23.008806945844707","23.35495279412005","23.268901809847446","22.83855618436921","23.408552528562115","23.23152131843553","23.26557231761654","23.137483039078695","23.282561179129118","23.358835465460384","23.273280595293954"
"[steps]","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500"

"[all run data]","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve"
,"14.080399619410086","12.88048343777978","12.799533437013993","13.362560679611653","13.87234360969769","14.029034229828847","12.578923218109503","14.396551724137925","13.305590062111808","12.992767005232379","12.744885496183205","13.931569343065695","13.680227202947494","13.319487820112426","12.405409314434484","13.601085271317835","13.21702567128946","12.615077098800683","12.764802631578952","13.64912559618443","14.172965559280717","13.5114835505897","13.72444646648468","13.747533632286993","14.049921259842517","12.37554776511832","14.75440379403794","14.458037443511945","12.975388173108692","12.355274381575207","12.437328871311228","12.290639625585031","13.07503852080123","12.467517401392115","13.208308065494236","13.502743066138379","12.122381807301016","12.62496280868789","13.36408364083641","12.878336436995658","14.539365079365078","11.802242152466366","13.701659221442247","13.771722443966848","13.673029556650249","13.41383898868929","14.130534351145034","13.458026273630251","14.9869535750593","13.502155172413795","13.083572659391155","13.281230956733697","12.98363854698289","12.792731402612153","13.578770413064357","13.153698791629827","12.935668003702563","14.252496878901368","13.353496851176663","11.660640353298366","13.218267191760075","12.934727901855927","12.43311726576311","13.328301311375414","12.827868852459012","14.720959595959593","11.649115172613865","13.820967207684673","13.748265460030161","13.7288189987163","11.64717514124294","12.615085087972314","14.537416053725611","13.655570204350694","13.22808793751808","12.795762467569899","14.634333224649497","13.181590574374077","13.031301755548196","11.110407876230665","12.874759152215807","12.212496271995224","12.700192184497123","13.353650990099014","12.484355444305375","13.737714987714993","13.065503620803156","12.729797237731413","13.542761148442274","14.596850660345414","13.367602196461252","14.446704509618415","12.266834767131408","12.824703015534576","13.36322188449848","11.711101269560087","13.756386861313867","12.026670574443147","13.917244498040397","11.681513543702875"
,"10.099954306602697","11.341570438799073","10.813730084348643","10.834938101788165","10.67889805933527","10.538898999090081","10.534760589318601","10.099343955014058","9.748364538687118","10.85251798561151","10.271917148362245","10.71328671328671","11.22749943323509","10.46643356643356","9.768292682926827","9.75299029564432","9.92735426008969","10.671434957532407","10.53615872270486","9.9202502844141","11.267567567567566","9.6858871888559","11.024627720504007","10.65475648611743","11.42589995324918","10.150205761316874","10.200608614232213","12.061614730878185","11.323383084577117","11.154197080291969","8.026096491228076","9.091827468785475","10.931010289990645","9.072427797833939","10.227542179662567","10.427936359382313","8.642586750788649","10.111936936936939","10.78649289099526","9.800964187327825","10.395727733526437","9.855863007484686","9.918210935712658","10.688491164476662","11.010423986882177","10.904979048558054","10.351703877790834","10.724121557454886","10.698392054859305","9.718552036199092","9.951668092386651","10.149201709017321","10.023521192361432","10.343839226883372","9.74925063407885","10.836602764155154","9.999109131403113","10.96589882565492","10.09205943812398","9.364197530864194","10.626356238698005","11.692905733722062","9.530240549828179","10.1530282015719","10.236913973600362","10.529539951573858","9.375713658322358","11.558768218147625","11.017272119456205","9.552655677655675","8.922639123102872","9.664298018949186","11.065814393939396","10.543015726179465","10.290426908150074","9.92878496690156","11.581112669471718","10.423396804552421","10.14953917050691","9.45449620801733","11.791781164126913","10.109639104613978","10.711917347429122","10.50230467849735","10.591401648998822","10.718123126585198","9.822093845791086","10.6864406779661","10.76642745010092","11.46492501209482","9.924638989169678","10.751863932898416","9.78185907046477","9.460411541042276","10.7497205454952","9.752270210409751","11.97074277525675","10.108224629670573","12.053470495139049","9.592168939727237"
,"8.497257926306775","10.852314474650996","10.974926253687316","10.458009880028229","10.18242656005563","9.418213660245184","10.551126992853215","9.128770301624133","10.650675067506748","11.624517196983632","9.802547770700638","9.302460202604921","11.265865901756898","9.834292911119112","9.995543083525915","8.673779969392958","9.352688737081804","10.083817062445032","9.884052800570823","9.175302245250432","11.258614196949727","9.880142622051565","10.377363587250137","10.47989494656765","10.838929139423925","9.527051397655544","9.492702029191888","11.439410187667558","10.61733734486649","9.952351594151839","8.203480358373536","8.203595389643903","10.573740345715334","8.505795001810945","10.5564961354435","8.919539170506916","8.654885993485339","9.953557658604986","10.518611576400518","9.651882693700218","9.550224887556224","9.857458856839504","9.234397163120569","9.323162274618584","10.726050110537951","9.678976744186047","9.137959407569943","10.475274214538013","10.114701704545462","8.572746258266626","9.811818943839064","10.141187050359713","9.763128800442232","9.37454827052142","10.374129717845367","9.963305128647908","9.488651994497937","10.353070561323241","9.546809256661993","9.32050390964379","9.873136945467296","11.478281760522773","9.518786127167635","9.159770114942535","10.734170305676859","9.53002130544257","9.765614035087724","11.174422799422798","11.000347101700797","9.492024104927335","8.585889570552146","8.824954522903921","10.275535939470364","10.324968966128742","8.89037974683545","10.299383772680594","11.213859354598016","9.994855967078195","10.114762741652024","8.689106901217862","11.526070038910504","10.242759489116745","10.548914069877243","9.854305864884932","11.05672385168788","9.953593089505604","9.691431670281998","10.675561280824432","9.813819742489269","10.752819206984354","9.178337754199823","9.903752480606169","10.214237687006223","8.869451240824889","10.457353457353454","9.569339298004131","10.935398564412543","9.546467107553081","11.544537962475893","9.534877667881313"
,"8.505140316754652","11.771798048629392","11.086901006459376","10.941586748038361","9.85700389105059","9.91422834193919","10.84941002949852","8.85537190082645","11.141815235008108","11.883361014645933","9.768325791855203","10.047003252284341","12.372233246832547","10.577613279497534","10.196101073223748","9.183908849433804","10.029513389000865","10.691446613088411","10.712107821475914","9.107759841404699","10.820556969606226","9.880172539845006","10.134763636363637","10.894318012791908","13.241628959276019","10.797423534729544","10.41050867220522","10.713015245623941","11.047495418448374","9.999207378584815","8.312337217272109","7.849778195994087","11.716566404442393","10.328667072428493","11.603069170865771","9.077791152572981","9.07760576538103","10.777914199046654","10.786800486618004","10.9640452876377","9.2915855667016","10.567019905484742","8.890640325066553","9.413768529076398","10.125540802625684","9.785735940579054","10.45699418426691","10.860592501157232","10.743856605955482","7.927139874739041","10.316052595534856","10.76289517470883","9.660661547548733","9.705678869991354","9.89379754242247","10.388320545609549","10.708718244803691","11.051243352019547","10.380809808953515","10.31366184715255","9.638317491842809","11.279164666346617","10.786279282020073","10.08495288574794","11.322633621976708","10.269622671549119","9.6944324246358","11.4599216513485","10.69104727374146","10.868023686158402","8.94793365959761","10.184246112238","10.4699602414961","10.065950273914877","8.457897596088552","11.63085090474054","11.29734169653524","11.403075353447031","10.818892045454549","8.636853595306318","11.772897487907626","9.925726973213001","10.489516864175025","9.45070638820639","12.050820174766212","11.192748682987295","9.837582354626182","10.634203734628821","9.373340558114329","13.197779158254386","8.829594477998274","9.900288184438036","9.43473628129994","9.213635069740967","11.55843777324395","11.099418604651161","10.345521023766004","10.325729136586778","11.264211705404646","9.920879748643243"
,"9.981223241590213","11.856758935769957","11.775299381497563","10.892190152801358","11.098422373610612","10.951176765147718","11.54391143911439","9.143369393460562","11.190027288514013","12.581638044914138","10.461292747087562","9.266307958017803","12.081210802508643","11.406534756573812","10.565030393393728","9.571596244131456","9.822538397428264","10.38708308065494","12.126165803108812","9.857057843370628","9.98095648958462","10.671414355019289","10.079738482219243","10.916394677378861","13.399701570001298","11.05936708860759","10.777332361516038","11.4797942233792","11.758695652173913","10.446501045381877","8.70712159377147","8.610184973738301","11.915759800708008","11.885691446842525","12.967277134392674","9.83878741755454","8.714457567804018","12.480109918869402","10.762962488797852","11.444298820445614","10.945975815888696","10.621307506053277","10.176236429433056","10.54852475006096","11.06549968173139","10.038441725692213","10.723138399086642","11.597972972972977","11.160084286574353","8.095187793427229","11.06787356999646","9.934694651662667","10.214831239221486","10.648148148148149","10.414172152527637","11.373381827148313","11.230941704035878","11.376262319016917","12.194727679681673","11.508303525804806","10.695056942088682","10.221575885774719","12.544813829787234","10.605554855775287","11.257498729028981","11.357914416285837","10.927753752225893","12.634030045721758","10.752371472069331","11.528481411468173","9.889324593234228","11.142052124911947","10.243113699793716","10.88288450029923","9.493698727856383","12.49463464486459","11.341488968322444","12.72816084709442","11.163010359536866","8.543835616438354","12.10617658703973","11.100626279657954","10.24473483887338","9.82199092607419","12.846971096740138","11.572956145100159","11.693236714975844","11.167525773195882","9.641213027966396","14.755968529571348","10.110223642172528","10.598191528098061","9.471515424453946","9.451355952815273","11.920264317180619","11.069575620198963","10.280608994776403","11.203027999493221","12.146994799854884","10.934469280566748"
,"10.540711925823299","11.357607811228641","12.277090866674442","12.204385026737965","12.139266450916942","12.06469675130281","11.771667023325485","11.01328702172235","12.524328209664937","12.356204631870026","10.724357590153309","10.214862777711769","12.150569123660079","12.603196131619296","10.890985636453689","9.869189907038514","10.515341556960715","10.554051250129678","12.718978924828127","9.938190535751511","10.70483239007401","11.113217768147345","11.403623747108716","11.213022058000227","13.931379350213904","10.455353272648464","11.774382171226835","10.943662722524254","12.105863551195855","12.374607786170836","9.207692307692316","10.188395266763546","13.039210074413285","12.472157772621815","12.896109839816932","10.855336282182153","10.646058502726817","12.493276353276357","11.184471489745327","11.132069194943448","11.894168215613389","12.87327761463745","10.832738906954793","11.229905248589372","12.179217381412807","10.971353864032533","11.758964589870011","12.012814748201444","12.465125013413452","9.829374932527262","10.705088426931425","10.341157266689184","11.12469082697065","10.706159579131965","11.04259459459459","12.032978376616317","11.844673731176801","12.160505629912885","11.971188603019346","12.048243663850599","11.481189518321191","10.069543263713562","13.733533653846154","12.044940644431879","11.448811903175661","12.026732432103277","11.017737730930524","13.381716552470248","10.647577314395082","12.234104046242784","10.456202892646163","12.396283675859863","10.855684210526316","11.346957976165585","10.384056410808492","12.694850856300333","12.288740122914838","13.451343580670128","11.962049439181097","9.231237113402061","13.147597254004568","12.709998922529895","10.986415425065733","11.243497542850289","13.884741591468414","11.637979584653294","12.869570135746608","11.87042204394838","10.166599799398195","14.522067363530782","10.928415539065908","11.441316329838973","10.728750252372299","10.235618382272682","11.99524874231415","11.477684162586817","11.862595419847333","12.028879454809516","12.442732681682962","12.52541351736225"
,"10.59227692600705","13.09779338014042","12.723115472958863","12.619850546081622","12.761462565293087","12.966055600322314","12.818711180124216","12.173233490803094","11.897384987893464","13.346211233081105","11.362737495153162","11.334324003026044","12.826146929600494","13.345469168900806","10.727656579873337","11.887952263686305","10.801030738082092","11.425768722882479","13.778058332474497","11.473469974140409","10.679640142403542","11.144858909934282","12.311067921440259","12.49866762324485","14.321269841269846","11.404147648342922","12.434696308058752","11.233511756834256","12.14324065196548","13.094803521580413","9.662063435495368","11.483719593947521","13.736630187900063","13.521666317772652","13.613601315924749","12.425745199957575","12.037967236854017","13.111900350010291","12.10702221312314","11.73957513768686","13.650786807501621","13.479207210898295","11.194408079296805","11.576667930250192","13.077274158010697","12.223650658733527","11.929052381423906","12.105797967722658","13.425029400235204","11.502482621648458","11.305233111322552","10.702462516135444","12.509076712863557","11.162747765254567","11.681056574019319","13.080109417741305","11.98485456369107","13.742231776431504","12.067267295303898","12.043217408989225","11.827064354980905","11.098589325192123","14.440570692984332","12.74499746063992","12.327685652487386","12.556923076923074","11.413237380904118","13.258334220896787","11.718478955537302","12.20666800562362","12.120358577446853","13.053388777363539","11.677237018585934","11.738326939272019","11.183926333044067","14.451109196640108","12.436093521675597","13.843231001509812","13.18224579663731","10.231718989280246","14.288809470627658","13.312680115273778","11.940269943593881","11.504872881355935","14.001431449475142","13.005896353997624","13.307115345631463","12.008336896109446","11.3721606396511","15.541551540913918","12.134107760751355","12.789455479790492","11.680101804720037","11.909879298103252","12.321795129804793","12.020090432637959","12.52454292527822","12.75235208028434","12.572236891738973","13.141678266056868"
